Run,Time,Size,Missingness,SelfWeight,Degree,TimeSteps,Fit
9.0,17.0,10.0,0.1,0.8,9.0,6.0,0.057178533156551546
9.0,18.0,10.0,0.1,0.8,9.0,6.0,0.05751074216377493
9.0,19.0,10.0,0.1,0.8,9.0,6.0,0.0579016700189279
9.0,20.0,10.0,0.1,0.8,9.0,6.0,0.05833595705417832
10.0,1.0,10.0,0.1,0.8,9.0,6.0,0.0865868113686223
10.0,2.0,10.0,0.1,0.8,9.0,6.0,0.1427578970146843
10.0,3.0,10.0,0.1,0.8,9.0,6.0,0.14852131348825998
10.0,4.0,10.0,0.1,0.8,9.0,6.0,0.12306690213797769
10.0,5.0,10.0,0.1,0.8,9.0,6.0,0.13272215169158097
10.0,6.0,10.0,0.1,0.8,9.0,6.0,0.11682439942673828
10.0,7.0,10.0,0.1,0.8,9.0,6.0,0.10142501110736281
10.0,8.0,10.0,0.1,0.8,9.0,6.0,0.097392918718622
10.0,9.0,10.0,0.1,0.8,9.0,6.0,0.0845088075111326
10.0,10.0,10.0,0.1,0.8,9.0,6.0,0.07588534044419434
10.0,11.0,10.0,0.1,0.8,9.0,6.0,0.0698491853968464
10.0,12.0,10.0,0.1,0.8,9.0,6.0,0.061807914287146874
10.0,13.0,10.0,0.1,0.8,9.0,6.0,0.05641641327927988
10.0,14.0,10.0,0.1,0.8,9.0,6.0,0.051716739117370944
10.0,15.0,10.0,0.1,0.8,9.0,6.0,0.047137598363904055
10.0,16.0,10.0,0.1,0.8,9.0,6.0,0.043906221045908786
10.0,17.0,10.0,0.1,0.8,9.0,6.0,0.04110415213815324
10.0,18.0,10.0,0.1,0.8,9.0,6.0,0.038808726436787545
10.0,19.0,10.0,0.1,0.8,9.0,6.0,0.037183050639625896
10.0,20.0,10.0,0.1,0.8,9.0,6.0,0.035890643777699564
1.0,1.0,10.0,0.1,0.8,9.0,11.0,0.05023974878348483
1.0,2.0,10.0,0.1,0.8,9.0,11.0,0.05708022893252376
1.0,3.0,10.0,0.1,0.8,9.0,11.0,0.06846984614607686
1.0,4.0,10.0,0.1,0.8,9.0,11.0,0.08408444097255394
1.0,5.0,10.0,0.1,0.8,9.0,11.0,0.09632304289918371
1.0,6.0,10.0,0.1,0.8,9.0,11.0,0.10325988119532652
1.0,7.0,10.0,0.1,0.8,9.0,11.0,0.1056108178350573
1.0,8.0,10.0,0.1,0.8,9.0,11.0,0.1046415600634179
1.0,9.0,10.0,0.1,0.8,9.0,11.0,0.10148082795401908
1.0,10.0,10.0,0.1,0.8,9.0,11.0,0.09697441215230854
1.0,11.0,10.0,0.1,0.8,9.0,11.0,0.09171044939839684
1.0,12.0,10.0,0.1,0.8,9.0,11.0,0.08608305225949286
1.0,13.0,10.0,0.1,0.8,9.0,11.0,0.08035136032030794
1.0,14.0,10.0,0.1,0.8,9.0,11.0,0.07468390710317158
1.0,15.0,10.0,0.1,0.8,9.0,11.0,0.0691891027853584
1.0,16.0,10.0,0.1,0.8,9.0,11.0,0.06393531166923225
1.0,17.0,10.0,0.1,0.8,9.0,11.0,0.0589638774760767
1.0,18.0,10.0,0.1,0.8,9.0,11.0,0.054297608993583144
1.0,19.0,10.0,0.1,0.8,9.0,11.0,0.04994641200330609
1.0,20.0,10.0,0.1,0.8,9.0,11.0,0.04591113227313563
2.0,1.0,10.0,0.1,0.8,9.0,11.0,0.01927085102030662
2.0,2.0,10.0,0.1,0.8,9.0,11.0,0.044475191477449987
2.0,3.0,10.0,0.1,0.8,9.0,11.0,0.06687204715604439
2.0,4.0,10.0,0.1,0.8,9.0,11.0,0.07227696847643841
2.0,5.0,10.0,0.1,0.8,9.0,11.0,0.0778467448108671
2.0,6.0,10.0,0.1,0.8,9.0,11.0,0.0755036931593631
2.0,7.0,10.0,0.1,0.8,9.0,11.0,0.07427566963448952
2.0,8.0,10.0,0.1,0.8,9.0,11.0,0.07012878573481006
2.0,9.0,10.0,0.1,0.8,9.0,11.0,0.06631813311868419
2.0,10.0,10.0,0.1,0.8,9.0,11.0,0.0622725482374032
2.0,11.0,10.0,0.1,0.8,9.0,11.0,0.0575811004986953
2.0,12.0,10.0,0.1,0.8,9.0,11.0,0.054116542299539744
2.0,13.0,10.0,0.1,0.8,9.0,11.0,0.0492717167279507
2.0,14.0,10.0,0.1,0.8,9.0,11.0,0.046424090416550864
2.0,15.0,10.0,0.1,0.8,9.0,11.0,0.04176165897489062
2.0,16.0,10.0,0.1,0.8,9.0,11.0,0.03945667118725962
2.0,17.0,10.0,0.1,0.8,9.0,11.0,0.03513911410804656
2.0,18.0,10.0,0.1,0.8,9.0,11.0,0.03329217539156251
2.0,19.0,10.0,0.1,0.8,9.0,11.0,0.02939554442318918
2.0,20.0,10.0,0.1,0.8,9.0,11.0,0.02793514438737348
3.0,1.0,10.0,0.1,0.8,9.0,11.0,0.027769354408981612
3.0,2.0,10.0,0.1,0.8,9.0,11.0,0.010344766127794664
3.0,3.0,10.0,0.1,0.8,9.0,11.0,0.03979020108064918
3.0,4.0,10.0,0.1,0.8,9.0,11.0,0.0694181823420573
3.0,5.0,10.0,0.1,0.8,9.0,11.0,0.09239395719502096
3.0,6.0,10.0,0.1,0.8,9.0,11.0,0.10915585656569715
3.0,7.0,10.0,0.1,0.8,9.0,11.0,0.12113113231580681
3.0,8.0,10.0,0.1,0.8,9.0,11.0,0.12972441506577953
3.0,9.0,10.0,0.1,0.8,9.0,11.0,0.1360516561202819
3.0,10.0,10.0,0.1,0.8,9.0,11.0,0.14091891703748888
3.0,11.0,10.0,0.1,0.8,9.0,11.0,0.14487549378368308
3.0,12.0,10.0,0.1,0.8,9.0,11.0,0.148279359147528
3.0,13.0,10.0,0.1,0.8,9.0,11.0,0.15135429501037312
3.0,14.0,10.0,0.1,0.8,9.0,11.0,0.1542338831535338
3.0,15.0,10.0,0.1,0.8,9.0,11.0,0.15699317689703943
3.0,16.0,10.0,0.1,0.8,9.0,11.0,0.15967051494632528
3.0,17.0,10.0,0.1,0.8,9.0,11.0,0.16228204654532113
3.0,18.0,10.0,0.1,0.8,9.0,11.0,0.16483112876554648
3.0,19.0,10.0,0.1,0.8,9.0,11.0,0.16731424344052487
3.0,20.0,10.0,0.1,0.8,9.0,11.0,0.16972461831311464
4.0,1.0,10.0,0.1,0.8,9.0,11.0,0.12588811279927448
4.0,2.0,10.0,0.1,0.8,9.0,11.0,0.17323785718866738
4.0,3.0,10.0,0.1,0.8,9.0,11.0,0.18637989170910954
4.0,4.0,10.0,0.1,0.8,9.0,11.0,0.1845859973208521
4.0,5.0,10.0,0.1,0.8,9.0,11.0,0.17627543797583878
4.0,6.0,10.0,0.1,0.8,9.0,11.0,0.16523638902553653
4.0,7.0,10.0,0.1,0.8,9.0,11.0,0.1532664293560564
4.0,8.0,10.0,0.1,0.8,9.0,11.0,0.14126829490426035
4.0,9.0,10.0,0.1,0.8,9.0,11.0,0.12970919744518059
4.0,10.0,10.0,0.1,0.8,9.0,11.0,0.1188248556003673
4.0,11.0,10.0,0.1,0.8,9.0,11.0,0.10871962768492234
4.0,12.0,10.0,0.1,0.8,9.0,11.0,0.0994212548790612
4.0,13.0,10.0,0.1,0.8,9.0,11.0,0.09091327172391132
4.0,14.0,10.0,0.1,0.8,9.0,11.0,0.08315496226304535
4.0,15.0,10.0,0.1,0.8,9.0,11.0,0.07609372581978381
