Run,Size,Missingness,SelfWeight,Degree,TimeSteps,Recovery,MeanDegree,MeanSelfWeight,Fit,RMSETime
5.0,4.0,0.0,0.8,2.0,11.0,0.00032352275538406354,2.0,0.737224454056241,1.800525636319389e-5,1.2778281843832085e-5
6.0,4.0,0.0,0.8,2.0,11.0,0.012824734234793581,2.5,0.7564199547860149,0.0009071099525983541,0.000699967430681434
7.0,4.0,0.0,0.8,2.0,11.0,0.040946135680294024,3.0,0.772598883847249,0.0004736834993972731,0.00019024772468656024
8.0,4.0,0.0,0.8,2.0,11.0,0.013508443011103408,2.5,0.7563066228794857,0.0005120015133851442,0.00020996441375899095
9.0,4.0,0.0,0.8,2.0,11.0,0.10812886883348247,3.0,0.8511609209861454,0.0011516217088292054,0.0006230690806995522
10.0,4.0,0.0,0.8,2.0,11.0,0.0006258934280601579,2.0,0.7353422677954563,3.190769959943548e-5,1.0010348914855974e-5
1.0,4.0,0.1,0.1,2.0,3.0,0.1622027507710679,3.0,0.1329583244287635,0.01066673172094712,0.020213221797987395
2.0,4.0,0.1,0.1,2.0,3.0,0.23331925167747988,2.5,0.04414944488490119,0.08294608702413116,0.2277754703774998
3.0,4.0,0.1,0.1,2.0,3.0,0.3346785901829808,2.0,0.11260975774773418,0.17132260091792162,0.5323283723112875
4.0,4.0,0.1,0.1,2.0,3.0,0.18813653620046672,2.5,0.13577993910385838,0.14074362787170955,0.08714465024513356
5.0,4.0,0.1,0.1,2.0,3.0,0.06819385734466091,2.5,0.09109411274144158,0.006006485772179024,0.018257012518695718
6.0,4.0,0.1,0.1,2.0,3.0,0.1692750070654389,2.0,0.10694745991370955,0.08434220010323284,0.07568490506593312
7.0,4.0,0.1,0.1,2.0,3.0,0.3307199510130199,2.5,0.09033735761991407,0.15174106898214093,0.22450437547585503
8.0,4.0,0.1,0.1,2.0,3.0,0.3013134054313958,2.0,0.0843578614138189,0.02690146853208361,0.07203822246583866
9.0,4.0,0.1,0.1,2.0,3.0,0.22333407553782286,2.5,0.13028839859659147,0.0019510524598252829,0.0028350194554547735
10.0,4.0,0.1,0.1,2.0,3.0,0.0656075872997307,2.5,0.09253810550649194,0.009308351481731456,0.021970984647642623
1.0,4.0,0.1,0.1,2.0,6.0,0.03867960565602134,2.5,0.07050970717096589,0.008897701261918283,0.017709039716113237
